Onnett_id;Osall_id;Osnro;Oslaji;Oslajisel;Peräv;Perävsel;Ajolaji;Ajolajisel;Ajoneuvika;Ajoneuvmas
6620243;11609208;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;1810
6585462;11609209;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;13;1275
6585462;11609210;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;1400
6575650;11609215;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1275
6575630;11609221;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;1315
6575630;11609222;2;10;jalankulkija;-1;Ei arvoa;-1;Ei arvoa;;
6622165;11609226;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1254
6622165;11609227;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;1375
6664976;11609228;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1365
6664976;11609229;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;1530
6664976;11609230;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;1655
6660358;11609231;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;7;1585
6660358;11609232;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;17;1305
6540139;11609233;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;10;1190
6492831;11609238;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1885
6492831;11609239;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;9;1810
6578271;11609240;1;33;linja-auto;-1;Ei arvoa;-1;Ei arvoa;3;2790
6578271;11609241;2;33;linja-auto;-1;Ei arvoa;-1;Ei arvoa;5;14900
6520788;11609245;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;22;1250
6520788;11609246;2;33;linja-auto;-1;Ei arvoa;-1;Ei arvoa;5;12500
6668082;11609247;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;15;1760
6668082;11609248;2;30;henkilöauto;-1;Ei arvoa;1;ammattimaisessa ajossa;3;2520
6668082;11609249;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;6;1115
6585302;11609250;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;1400
6585302;11609251;2;30;henkilöauto;3;kevytperävaunu;-1;Ei arvoa;0;1310
6572478;11605047;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;1430
6572478;11605048;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;17;1195
6572478;11609252;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;955
6612654;11605049;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;3;1800
6612654;11605050;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6664601;11605051;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1280
6681710;11605052;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;965
6681709;11605055;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;2180
6622140;11605058;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;1590
6622140;11605059;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;10;1503
6656373;11605060;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1070
6656373;11605061;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1900
6678367;11605064;1;33;linja-auto;-1;Ei arvoa;-1;Ei arvoa;2;12790
6678367;11605065;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;10;1595
6656375;11605069;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;5;2060
6656375;11605070;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1381
6578272;11605071;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;4;1762
6578272;11605072;2;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;1;7800
6620260;11605073;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6695598;11605074;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;2;1605
6695598;11605075;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1395
6650557;11605076;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;1565
