Onnett_id;Tienpit;Tienpitsel;Tie;Aosa;Aet;Ajr;Vuosi;Kk;Vakavuusko;Vakavuus;ELY;Elynimi;Vkpv;Ontyyppi;Ontyypsel;Onluokka;Onlksel;Osallkm;Nopraj;Taajmerk;Taajamasel;Pinta;Pintasel;Valoisuus;Valsel;Sää;Sääsel;Onnpaikka;Onnpaiksel;Liikvalot;Liikvalsel;Liittyvtie;Maakunta;Maakuntsel;Kunta;Kuntasel;Noplaji;Noplajisel;Nopsuunvas;Nopsuunoik;Taajama;Mo_mol;Mo_molsel;Toimluokka;Toimlksel;Kvl;Raskaskvl;Tienlev;X;Y;Tietyö;Päällyste;Päällsel;Lämpötila;Risteys;Risteyssel;Rautatie;Rautatsel;Muuliit;Muuliitsel;Katuosoite;Tietyyppi;Tietyypsel;Talvhoitlk;Talvhoitsel;Tienverkas;Tienverkse;Maankäyttö;Maankäytse;Valoohjaus;Valoohjsel;Lisäkaisty;Lisäkaisse;Solmutyyp;Solmutyyps;Liitluok;Liitlksel;Lähliittie;Suuntlkm;Toimenpide;Toimpidsel;Luovpvm;Valaisomis;Valomsel;Poikkileik;Poikleikse;Päällyslev;Päällystlk;Päällksel;Nakos150;Nakos300;Nakos460;Runkotie;Raskos
9397853;1;Väylävirasto;13;138;2960;0;2019;9;0;Ei henkilövahinkoja;9;Keski-Suomen ELY;Sunnuntai;82;suistuminen oik. oikealle kääntyvässä kaarteessa;1;yksittäisonnettomuus;1;80;0;E;1;paljas, kuiva;1;päivänvalo;1;kirkas;1;ajorata;-1;Ei arvoa;;13;Keski-Suomi;992;Äänekoski;1;tiekohtainen rajoitus;80;80;E;-1;Ei arvoa;1;valtatie;4957;509;83;427213;6941695;E;1;kestopäällyste;4;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;13-TIE HIETAMA                          ;1;yleinen tie;2;normaalisti aina paljaana;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;3;rakenteen parantaminen;30.6.1968;1;valtio omistaa;1;erotettu;75;10;kovat asfaltit;100;87;47;0;on
9343203;1;Väylävirasto;13;139;380;0;2019;5;0;Ei henkilövahinkoja;9;Keski-Suomen ELY;Tiistai;7;muu peräänajo liikkuvaan  ajoneuvoon ;8;polkupyöräonnettomuus;2;80;0;E;1;paljas, kuiva;1;päivänvalo;2;pilvipouta;3;kevyen liikenteen väylä;-1;Ei arvoa;;13;Keski-Suomi;992;Äänekoski;1;tiekohtainen rajoitus;80;80;E;-1;Ei arvoa;1;valtatie;4957;509;83;428707;6940376;E;1;kestopäällyste;10;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;SAARIJÄRVENTIE X TERVAVUORENTIE         ;1;yleinen tie;2;normaalisti aina paljaana;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;3;rakenteen parantaminen;30.11.2001;1;valtio omistaa;1;erotettu;75;10;kovat asfaltit;100;69;29;0;ei
9387927;1;Väylävirasto;13;139;2996;0;2019;8;0;Ei henkilövahinkoja;9;Keski-Suomen ELY;Perjantai;90;eläinonnettomuus ;10;hirvionnettomuus;2;80;0;E;1;paljas, kuiva;3;pimeä (valaisematon);1;kirkas;1;ajorata;-1;Ei arvoa;;13;Keski-Suomi;992;Äänekoski;1;tiekohtainen rajoitus;80;80;E;-1;Ei arvoa;1;valtatie;4957;509;83;430725;6938777;E;1;kestopäällyste;15;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;SAARIJÄRVENTIE                          ;1;yleinen tie;2;normaalisti aina paljaana;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;3;rakenteen parantaminen;30.6.1968;-1;Ei arvoa;1;erotettu;75;10;kovat asfaltit;100;69;29;0;ei
9385255;1;Väylävirasto;13;201;1950;0;2019;7;0;Ei henkilövahinkoja;9;Keski-Suomen ELY;Sunnuntai;90;eläinonnettomuus ;10;hirvionnettomuus;2;60;0;E;-1;Ei arvoa;2;hämärä;-1;Ei arvoa;1;ajorata;-1;Ei arvoa;;13;Keski-Suomi;410;Laukaa;1;tiekohtainen rajoitus;100;100;E;-1;Ei arvoa;1;valtatie;3035;212;84;457789;6900508;E;1;kestopäällyste;15;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;MIKKELINTIE X MOOTTORIRADANTIE          ;1;yleinen tie;2;normaalisti aina paljaana;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;31.10.1980;-1;Ei arvoa;1;erotettu;76;10;kovat asfaltit;100;95;55;0;ei
9332403;1;Väylävirasto;13;201;5296;0;2019;2;0;Ei henkilövahinkoja;9;Keski-Suomen ELY;Maanantai;90;eläinonnettomuus ;10;hirvionnettomuus;2;80;0;E;5;sohjoinen;3;pimeä (valaisematon);6;räntäsade;1;ajorata;-1;Ei arvoa;;13;Keski-Suomi;850;Toivakka;1;tiekohtainen rajoitus;100;100;E;-1;Ei arvoa;1;valtatie;3035;212;84;458953;6897431;E;1;kestopäällyste;2;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;KANGASNIEMENTIE                         ;1;yleinen tie;2;normaalisti aina paljaana;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;31.10.1980;-1;Ei arvoa;1;erotettu;76;10;kovat asfaltit;100;95;55;0;ei
9332748;1;Väylävirasto;13;202;6;0;2019;2;2;Loukkaantumiseen johtanut;9;Keski-Suomen ELY;Sunnuntai;86;suistuminen tieltä risteyksessä;1;yksittäisonnettomuus;1;80;0;E;6;jäinen;4;tie valaistu;5;lumisade;1;ajorata;-1;Ei arvoa;;13;Keski-Suomi;850;Toivakka;1;tiekohtainen rajoitus;100;100;E;-1;Ei arvoa;1;valtatie;2179;269;84;459321;6896363;E;1;kestopäällyste;-8;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;KANGASNIEMENTIE X UUSITIE               ;1;yleinen tie;2;normaalisti aina paljaana;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;31.10.1980;1;valtio omistaa;1;erotettu;76;10;kovat asfaltit;100;100;65;0;ei
9344078;1;Väylävirasto;13;203;2042;0;2019;6;0;Ei henkilövahinkoja;8;Pohjois-Savon ELY;Torstai;90;eläinonnettomuus ;10;hirvionnettomuus;2;100;0;E;1;paljas, kuiva;2;hämärä;1;kirkas;1;ajorata;-1;Ei arvoa;;10;Etelä-Savo;213;Kangasniemi;1;tiekohtainen rajoitus;100;100;E;-1;Ei arvoa;1;valtatie;1932;232;81;464264;6892448;E;1;kestopäällyste;15;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;JYVÄSKYLÄNTIE                           ;1;yleinen tie;2;normaalisti aina paljaana;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;3;rakenteen parantaminen;31.12.1988;-1;Ei arvoa;1;erotettu;75;10;kovat asfaltit;100;92;64;0;ei
9332461;1;Väylävirasto;13;204;2433;0;2019;2;0;Ei henkilövahinkoja;8;Pohjois-Savon ELY;Sunnuntai;80;suistuminen oikealle suoralla ;1;yksittäisonnettomuus;1;80;0;E;5;sohjoinen;1;päivänvalo;6;räntäsade;1;ajorata;-1;Ei arvoa;;10;Etelä-Savo;213;Kangasniemi;1;tiekohtainen rajoitus;100;100;E;-1;Ei arvoa;1;valtatie;1932;232;81;467712;6889002;E;1;kestopäällyste;2;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TIE 13                                  ;1;yleinen tie;2;normaalisti aina paljaana;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;3;rakenteen parantaminen;31.12.1988;-1;Ei arvoa;1;erotettu;75;10;kovat asfaltit;99;97;32;0;on
9477028;1;Väylävirasto;13;205;652;0;2019;11;0;Ei henkilövahinkoja;8;Pohjois-Savon ELY;Perjantai;90;eläinonnettomuus ;10;hirvionnettomuus;2;100;0;E;-1;Ei arvoa;3;pimeä (valaisematon);-1;Ei arvoa;1;ajorata;-1;Ei arvoa;;10;Etelä-Savo;213;Kangasniemi;1;tiekohtainen rajoitus;100;100;E;-1;Ei arvoa;1;valtatie;1932;232;81;470354;6887721;E;1;kestopäällyste;0;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;JYVÄSKYLÄNTIE, ORALA                    ;1;yleinen tie;2;normaalisti aina paljaana;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;3;rakenteen parantaminen;31.12.1988;-1;Ei arvoa;1;erotettu;75;10;kovat asfaltit;100;98;71;0;ei
9385461;1;Väylävirasto;13;205;2927;0;2019;7;0;Ei henkilövahinkoja;8;Pohjois-Savon ELY;Lauantai;90;eläinonnettomuus ;10;hirvionnettomuus;2;100;0;E;1;paljas, kuiva;2;hämärä;-1;Ei arvoa;1;ajorata;-1;Ei arvoa;;10;Etelä-Savo;213;Kangasniemi;1;tiekohtainen rajoitus;100;100;E;-1;Ei arvoa;1;valtatie;1932;232;81;472159;6886401;E;1;kestopäällyste;9;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;JYVÄSKYLÄNTIE                           ;1;yleinen tie;2;normaalisti aina paljaana;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;3;rakenteen parantaminen;31.12.1988;-1;Ei arvoa;1;erotettu;75;10;kovat asfaltit;100;98;71;0;ei
