Onnett_id;Tienpit;Tienpitsel;Tie;Aosa;Aet;Ajr;Vuosi;Kk;Vakavuusko;Vakavuus;ELY;Elynimi;Vkpv;Ontyyppi;Ontyypsel;Onluokka;Onlksel;Osallkm;Nopraj;Taajmerk;Taajamasel;Pinta;Pintasel;Valoisuus;Valsel;Sää;Sääsel;Onnpaikka;Onnpaiksel;Liikvalot;Liikvalsel;Liittyvtie;Maakunta;Maakuntsel;Kunta;Kuntasel;Noplaji;Noplajisel;Nopsuunvas;Nopsuunoik;Taajama;Mo_mol;Mo_molsel;Toimluokka;Toimlksel;Kvl;Raskaskvl;Tienlev;X;Y;Tietyö;Päällyste;Päällsel;Lämpötila;Risteys;Risteyssel;Rautatie;Rautatsel;Muuliit;Muuliitsel;Katuosoite;Tietyyppi;Tietyypsel;Talvhoitlk;Talvhoitsel;Tienverkas;Tienverkse;Maankäyttö;Maankäytse;Valoohjaus;Valoohjsel;Lisäkaisty;Lisäkaisse;Solmutyyp;Solmutyyps;Liitluok;Liitlksel;Lähliittie;Suuntlkm;Toimenpide;Toimpidsel;Luovpvm;Valaisomis;Valomsel;Poikkileik;Poikleikse;Päällyslev;Päällystlk;Päällksel;Nakos150;Nakos300;Nakos460;Runkotie;Raskos
9733805;-1;Ei arvoa;;;;;2020;5;0;Ei henkilövahinkoja;2;Varsinais-Suomen ELY;Maanantai;90;eläinonnettomuus ;11;peuraonnettomuus;2;-1;-1;Ei arvoa;2;paljas, märkä;1;päivänvalo;-1;Ei arvoa;1;ajorata;-1;Ei arvoa;;2;Varsinais-Suomi;631;Pyhäranta;-1;Ei arvoa;-1;-1; ;-1;Ei arvoa;-1;Ei arvoa;;;;;;E;-1;Ei arvoa;7;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;                                        ;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;-1;Ei arvoa;;-1;Ei arvoa;-1;Ei arvoa;;-1;Ei arvoa;;;;;ei
9775542;-1;Ei arvoa;;;;;2020;6;0;Ei henkilövahinkoja;10;Etelä-Pohjanmaan ELY;Maanantai;90;eläinonnettomuus ;11;peuraonnettomuus;2;-1;-1;Ei arvoa;-1;Ei arvoa;1;päivänvalo;-1;Ei arvoa;1;ajorata;-1;Ei arvoa;;15;Pohjanmaa;499;Mustasaari;-1;Ei arvoa;-1;-1; ;-1;Ei arvoa;-1;Ei arvoa;;;;;;E;-1;Ei arvoa;17;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;                                        ;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;-1;Ei arvoa;;-1;Ei arvoa;-1;Ei arvoa;;-1;Ei arvoa;;;;;ei
9955041;-1;Ei arvoa;;;;;2020;11;0;Ei henkilövahinkoja;1;Uudenmaan ELY;Torstai;12;peräänajo käännyttäessä vasemmalle ;1;yksittäisonnettomuus;1;-1;-1;Ei arvoa;2;paljas, märkä;4;tie valaistu;-1;Ei arvoa;1;ajorata;-1;Ei arvoa;;1;Uusimaa;91;Helsinki;-1;Ei arvoa;-1;-1; ;-1;Ei arvoa;-1;Ei arvoa;;;;385792;6671884;E;1;kestopäällyste;9;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;                                        ;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;-1;Ei arvoa;;-1;Ei arvoa;-1;Ei arvoa;;-1;Ei arvoa;;;;;ei
9945459;-1;Ei arvoa;;;;;2020;11;0;Ei henkilövahinkoja;14;Lapin ELY;Torstai;90;eläinonnettomuus ;12;muu eläinonnettomuus;2;-1;-1;Ei arvoa;-1;Ei arvoa;1;päivänvalo;-1;Ei arvoa;1;ajorata;-1;Ei arvoa;;19;Lappi;148;Inari;-1;Ei arvoa;-1;-1; ;-1;Ei arvoa;-1;Ei arvoa;;;;;;E;-1;Ei arvoa;;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;                                        ;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;-1;Ei arvoa;;-1;Ei arvoa;-1;Ei arvoa;;-1;Ei arvoa;;;;;ei
9774697;1;Väylävirasto;1;3;29;2;2020;6;0;Ei henkilövahinkoja;1;Uudenmaan ELY;Tiistai;6;peräänajo jarruttavaan ajoneuvoon ;6;peräänajo-onnettomuus;3;50;1;K;1;paljas, kuiva;1;päivänvalo;2;pilvipouta;1;ajorata;1;toiminnassa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;50;K;1;moottoritie;1;valtatie;31179;999;201;382569;6675828;E;1;kestopäällyste;18;4;liikennevalot;-1;Ei arvoa;-1;Ei arvoa;TIE 1 X HUOPALAHDENTIE                  ;1;yleinen tie;1;liukkaudentorjunta ilman toimenpideaikaa;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;3;lisäkaista kaikille;10;Moniajoratainen liittymä;1;liittymä;;4;1;rakentaminen;1.1.1962;1;valtio omistaa;2;2 ajor;114;10;kovat asfaltit;97;76;57;1;ei
9933667;1;Väylävirasto;1;3;3356;2;2020;10;0;Ei henkilövahinkoja;1;Uudenmaan ELY;Lauantai;7;muu peräänajo liikkuvaan  ajoneuvoon ;6;peräänajo-onnettomuus;2;80;0;E;1;paljas, kuiva;1;päivänvalo;1;kirkas;1;ajorata;-1;Ei arvoa;;1;Uusimaa;49;Espoo;1;tiekohtainen rajoitus;100;100;E;1;moottoritie;1;valtatie;31179;999;201;379427;6676687;E;1;kestopäällyste;6;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TIE 1                                   ;1;yleinen tie;1;liukkaudentorjunta ilman toimenpideaikaa;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;5;joukkoliikenteen kaista;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;1.1.1962;1;valtio omistaa;2;2 ajor;114;10;kovat asfaltit;97;76;57;1;ei
9665446;1;Väylävirasto;1;4;162;1;2020;3;0;Ei henkilövahinkoja;1;Uudenmaan ELY;Tiistai;2;kaistanvaihto oikealle;3;ohitusonnettomuus;2;100;0;E;1;paljas, kuiva;1;päivänvalo;1;kirkas;1;ajorata;-1;Ei arvoa;;1;Uusimaa;49;Espoo;1;tiekohtainen rajoitus;100;100;E;1;moottoritie;1;valtatie;74444;2533;221;378819;6676670;E;1;kestopäällyste;-4;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄ                              ;1;yleinen tie;1;liukkaudentorjunta ilman toimenpideaikaa;2;keskustan ohikulku kaava-alueella;9;tieto puuttuu;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;30.6.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;100;97;70;1;ei
9621851;1;Väylävirasto;1;4;1634;2;2020;1;0;Ei henkilövahinkoja;1;Uudenmaan ELY;Maanantai;6;peräänajo jarruttavaan ajoneuvoon ;6;peräänajo-onnettomuus;3;100;0;E;1;paljas, kuiva;1;päivänvalo;2;pilvipouta;1;ajorata;-1;Ei arvoa;;1;Uusimaa;49;Espoo;1;tiekohtainen rajoitus;100;100;E;1;moottoritie;1;valtatie;74444;2533;267;377374;6676526;E;1;kestopäällyste;5;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄ                              ;1;yleinen tie;1;liukkaudentorjunta ilman toimenpideaikaa;2;keskustan ohikulku kaava-alueella;9;tieto puuttuu;-1;Ei arvoa;3;lisäkaista kaikille;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;1.1.1962;1;valtio omistaa;2;2 ajor;114;10;kovat asfaltit;100;97;70;1;ei
9710570;1;Väylävirasto;1;4;2167;2;2020;4;0;Ei henkilövahinkoja;1;Uudenmaan ELY;Lauantai;7;muu peräänajo liikkuvaan  ajoneuvoon ;6;peräänajo-onnettomuus;2;100;0;E;1;paljas, kuiva;4;tie valaistu;2;pilvipouta;1;ajorata;-1;Ei arvoa;;1;Uusimaa;49;Espoo;1;tiekohtainen rajoitus;100;100;E;1;moottoritie;1;valtatie;74444;2533;267;376857;6676431;E;1;kestopäällyste;4;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄ                              ;1;yleinen tie;1;liukkaudentorjunta ilman toimenpideaikaa;2;keskustan ohikulku kaava-alueella;9;tieto puuttuu;-1;Ei arvoa;3;lisäkaista kaikille;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;1.1.1962;1;valtio omistaa;2;2 ajor;114;10;kovat asfaltit;100;97;70;1;ei
9944088;1;Väylävirasto;1;4;2426;1;2020;11;2;Loukkaantumiseen johtanut;1;Uudenmaan ELY;Torstai;6;peräänajo jarruttavaan ajoneuvoon ;6;peräänajo-onnettomuus;3;100;0;E;2;paljas, märkä;2;hämärä;2;pilvipouta;1;ajorata;-1;Ei arvoa;;1;Uusimaa;49;Espoo;1;tiekohtainen rajoitus;100;100;E;1;moottoritie;1;valtatie;74444;2533;234;376591;6676441;E;1;kestopäällyste;5;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄ X NIHTISILTA                 ;1;yleinen tie;1;liukkaudentorjunta ilman toimenpideaikaa;2;keskustan ohikulku kaava-alueella;9;tieto puuttuu;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;30.6.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;100;97;70;1;ei
