,id,year,month,day_of_week,x,y,vehicle_mass,region,road_type,Seriousness
921,9956094,2021,1,Sunnuntai,377772.0,6737938.0,1467.0,Uudenmaan ELY,kantatie,Ei henkilövahinkoja
922,9956095,2021,1,Sunnuntai,282204.0,7057909.0,1517.0,Etelä-Pohjanmaan ELY,seututie,Ei henkilövahinkoja
923,9956095,2021,1,Sunnuntai,282204.0,7057909.0,,Etelä-Pohjanmaan ELY,seututie,Ei henkilövahinkoja
924,9956096,2021,1,Maanantai,395890.0,6688710.0,865.0,Uudenmaan ELY,valtatie,Loukkaantumiseen johtanut
925,9956097,2021,1,Keskiviikko,654737.0,7103484.0,2201.0,Pohjois-Pohjanmaan ELY,yhdystie,Ei henkilövahinkoja
926,9956098,2021,1,Tiistai,490811.0,6924665.0,,Pohjois-Savon ELY,valtatie,Ei henkilövahinkoja
927,9956098,2021,1,Tiistai,490811.0,6924665.0,1280.0,Pohjois-Savon ELY,valtatie,Ei henkilövahinkoja
928,9956099,2021,1,Torstai,365814.0,6675151.0,925.0,Uudenmaan ELY,kantatie,Ei henkilövahinkoja
929,9956099,2021,1,Torstai,365814.0,6675151.0,1555.0,Uudenmaan ELY,kantatie,Ei henkilövahinkoja
930,9956100,2021,1,Lauantai,237589.0,6711886.0,1270.0,Varsinais-Suomen ELY,valtatie,Ei henkilövahinkoja
931,9956101,2021,1,Perjantai,386825.0,6674736.0,1565.0,Uudenmaan ELY,Ei arvoa,Loukkaantumiseen johtanut
932,9956101,2021,1,Perjantai,386825.0,6674736.0,1510.0,Uudenmaan ELY,Ei arvoa,Loukkaantumiseen johtanut
933,9956103,2021,1,Sunnuntai,394470.0,6676140.0,1615.0,Uudenmaan ELY,Ei arvoa,Loukkaantumiseen johtanut
934,9956103,2021,1,Sunnuntai,394470.0,6676140.0,1845.0,Uudenmaan ELY,Ei arvoa,Loukkaantumiseen johtanut
935,9956104,2021,1,Maanantai,390373.0,6684358.0,1470.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
936,9956105,2021,1,Maanantai,387948.0,6673488.0,,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
937,9956105,2021,1,Maanantai,387948.0,6673488.0,1368.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
