,id,year,month,day_of_week,x,y,vehicle_mass,region,road_type,Seriousness
1211,9956287,2021,1,Lauantai,394125.0,6691883.0,1860.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1212,9956287,2021,1,Lauantai,394125.0,6691883.0,1325.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1213,9956290,2021,1,Maanantai,392071.0,6688820.0,1370.0,Uudenmaan ELY,Ei arvoa,Loukkaantumiseen johtanut
1214,9956290,2021,1,Maanantai,392071.0,6688820.0,1496.0,Uudenmaan ELY,Ei arvoa,Loukkaantumiseen johtanut
1215,9956292,2021,1,Maanantai,394796.0,6697650.0,1352.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1216,9956293,2021,1,Perjantai,395361.0,6680157.0,1640.0,Uudenmaan ELY,Ei arvoa,Loukkaantumiseen johtanut
1217,9956294,2021,1,Maanantai,383058.0,6686714.0,1725.0,Uudenmaan ELY,Ei arvoa,Loukkaantumiseen johtanut
1218,9956294,2021,1,Maanantai,383058.0,6686714.0,13700.0,Uudenmaan ELY,Ei arvoa,Loukkaantumiseen johtanut
1219,9956295,2021,1,Perjantai,395893.0,6697286.0,1395.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1220,9956295,2021,1,Perjantai,395893.0,6697286.0,1803.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1221,9956296,2021,1,Sunnuntai,395421.0,6707321.0,1520.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1222,9956297,2021,1,Sunnuntai,382270.0,6723372.0,1290.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1223,9956297,2021,1,Sunnuntai,382270.0,6723372.0,1471.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1224,9956297,2021,1,Sunnuntai,382270.0,6723372.0,2024.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1225,9956298,2021,1,Maanantai,395627.0,6698170.0,1505.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1226,9956299,2021,1,Tiistai,396336.0,6699181.0,12000.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1227,9956299,2021,1,Tiistai,396336.0,6699181.0,1844.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1228,9956300,2021,1,Perjantai,382767.0,6683001.0,12239.0,Uudenmaan ELY,Ei arvoa,Loukkaantumiseen johtanut
1229,9956300,2021,1,Perjantai,382767.0,6683001.0,1835.0,Uudenmaan ELY,Ei arvoa,Loukkaantumiseen johtanut
1230,9956301,2021,1,Perjantai,382305.0,6683230.0,1095.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1231,9956301,2021,1,Perjantai,382305.0,6683230.0,1368.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1232,9956301,2021,1,Perjantai,382305.0,6683230.0,1685.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
