id,year,month,day_of_week,lon,lat,vehicle_mass,Seriousness,snowfall_1,snowfall_2,snowfall_3,snowfall_4,snowfall_5
8119964,2017,1,keskiviikko,21.7983,61.4957,1030.0,Ei henkilövahinkoja,0.0,2.240000009536743,0.0,0.0,
8119965,2017,1,keskiviikko,28.1812,61.0479,,Loukkaantumiseen johtanut,0.0,0.6299999952316284,0.0,0.0,
8119965,2017,1,keskiviikko,28.1812,61.0479,1250.0,Loukkaantumiseen johtanut,0.0,0.6299999952316284,0.0,0.0,
8119966,2017,1,tiistai,28.8803,61.2538,980.0,Loukkaantumiseen johtanut,0.2800000011920929,0.4199999868869781,1.4700002670288086,0.0,
8119967,2017,1,torstai,22.2952,60.4352,1396.0,Ei henkilövahinkoja,0.0700000002980232,0.9099999666213988,0.699999988079071,0.0,
8119967,2017,1,torstai,22.2952,60.4352,1265.0,Ei henkilövahinkoja,0.0700000002980232,0.9099999666213988,0.699999988079071,0.0,
8119967,2017,1,torstai,22.2952,60.4352,1135.0,Ei henkilövahinkoja,0.0700000002980232,0.9099999666213988,0.699999988079071,0.0,
8119967,2017,1,torstai,22.2952,60.4352,1490.0,Ei henkilövahinkoja,0.0700000002980232,0.9099999666213988,0.699999988079071,0.0,
8119968,2017,1,maanantai,22.1532,61.3077,,Ei henkilövahinkoja,0.0,0.0,0.3500000238418579,0.0,0.0
8119969,2017,1,lauantai,27.1211,63.5138,1430.0,Ei henkilövahinkoja,0.2800000011920929,0.0,0.9099999666213988,0.1400000005960464,
8119969,2017,1,lauantai,27.1211,63.5138,1496.0,Ei henkilövahinkoja,0.2800000011920929,0.0,0.9099999666213988,0.1400000005960464,
8119970,2017,1,perjantai,25.3516,64.1419,1167.0,Ei henkilövahinkoja,2.0299999713897705,0.9099999666213988,0.2800000011920929,0.0,
8119971,2017,1,perjantai,24.8596,60.2338,12900.0,Ei henkilövahinkoja,4.690000534057617,1.399999976158142,0.0,0.0,
8119971,2017,1,perjantai,24.8596,60.2338,1363.0,Ei henkilövahinkoja,4.690000534057617,1.399999976158142,0.0,0.0,
8119972,2017,1,sunnuntai,22.397,62.433,830.0,Loukkaantumiseen johtanut,2.1000001430511475,0.0,0.1400000005960464,0.0700000002980232,0.4900000095367431
8119974,2017,1,lauantai,27.6913,62.9597,1190.0,Ei henkilövahinkoja,0.1400000005960464,0.0,0.699999988079071,0.1400000005960464,
8119974,2017,1,lauantai,27.6913,62.9597,1415.0,Ei henkilövahinkoja,0.1400000005960464,0.0,0.699999988079071,0.1400000005960464,
8119974,2017,1,lauantai,27.6913,62.9597,1704.0,Ei henkilövahinkoja,0.1400000005960464,0.0,0.699999988079071,0.1400000005960464,
8119975,2017,1,tiistai,23.6124,60.817,1630.0,Loukkaantumiseen johtanut,0.0,0.9099999666213988,0.2800000011920929,0.0,
8119975,2017,1,tiistai,23.6124,60.817,,Loukkaantumiseen johtanut,0.0,0.9099999666213988,0.2800000011920929,0.0,
8119976,2017,1,torstai,24.8582,60.6299,,Loukkaantumiseen johtanut,0.0,5.950000762939453,0.4199999868869781,0.0,
8119976,2017,1,torstai,24.8582,60.6299,1665.0,Loukkaantumiseen johtanut,0.0,5.950000762939453,0.4199999868869781,0.0,
8119977,2017,1,lauantai,24.1404,60.2753,,Ei henkilövahinkoja,0.0700000002980232,0.0,0.0,0.1400000005960464,
8119978,2017,1,keskiviikko,25.7034,60.984,1690.0,Ei henkilövahinkoja,0.0,1.4000003337860107,0.0,0.3500000238418579,
8119978,2017,1,keskiviikko,25.7034,60.984,1788.0,Ei henkilövahinkoja,0.0,1.4000003337860107,0.0,0.3500000238418579,
8119979,2017,1,maanantai,25.8538,62.5687,1315.0,Ei henkilövahinkoja,0.7699999809265137,0.1400000005960464,0.4900000095367431,0.2100000083446502,0.0
8119979,2017,1,maanantai,25.8538,62.5687,1515.0,Ei henkilövahinkoja,0.7699999809265137,0.1400000005960464,0.4900000095367431,0.2100000083446502,0.0
8119980,2017,1,maanantai,22.9017,61.3474,1180.0,Ei henkilövahinkoja,0.4899999797344208,0.0700000002980232,0.1400000005960464,0.0,0.0
8119980,2017,1,maanantai,22.9017,61.3474,1664.0,Ei henkilövahinkoja,0.4899999797344208,0.0700000002980232,0.1400000005960464,0.0,0.0
8119981,2017,1,maanantai,25.551,60.9106,1280.0,Ei henkilövahinkoja,3.920000076293945,0.0,0.1400000005960464,0.0,0.0
8119982,2017,1,perjantai,24.9049,60.193,1668.0,Loukkaantumiseen johtanut,4.690000534057617,1.399999976158142,0.0,0.0,
8119982,2017,1,perjantai,24.9049,60.193,,Loukkaantumiseen johtanut,4.690000534057617,1.399999976158142,0.0,0.0,
8119983,2017,1,tiistai,21.7538,61.4757,1150.0,Ei henkilövahinkoja,0.0,0.2100000083446502,0.0700000002980232,0.0,
8119983,2017,1,tiistai,21.7538,61.4757,2440.0,Ei henkilövahinkoja,0.0,0.2100000083446502,0.0700000002980232,0.0,
8119984,2017,1,maanantai,26.5449,61.0438,1175.0,Kuolemaan johtanut,1.1200000047683716,0.2100000083446502,0.0700000002980232,0.0700000002980232,0.0
8119985,2017,1,lauantai,22.5831,60.6792,1350.0,Ei henkilövahinkoja,0.0,0.0,0.0,0.2800000011920929,
8119986,2017,1,perjantai,21.6275,63.0917,,Ei henkilövahinkoja,2.93999981880188,0.0,0.699999988079071,0.0,
8119986,2017,1,perjantai,21.6275,63.0917,1320.0,Ei henkilövahinkoja,2.93999981880188,0.0,0.699999988079071,0.0,
8119987,2017,1,torstai,22.4038,60.4105,6350.0,Loukkaantumiseen johtanut,0.0,0.7699999809265137,0.7699999809265137,0.0,
8119987,2017,1,torstai,22.4038,60.4105,1268.0,Loukkaantumiseen johtanut,0.0,0.7699999809265137,0.7699999809265137,0.0,
8119988,2017,1,lauantai,25.6988,62.3069,1810.0,Ei henkilövahinkoja,0.0700000002980232,0.0,0.4900000095367431,0.0700000002980232,
8119989,2017,1,perjantai,24.9584,60.2445,980.0,Ei henkilövahinkoja,3.7800002098083496,0.7700000405311584,0.0,0.0,
8119989,2017,1,perjantai,24.9584,60.2445,11880.0,Ei henkilövahinkoja,3.7800002098083496,0.7700000405311584,0.0,0.0,
8119990,2017,1,maanantai,24.9393,60.1702,1735.0,Ei henkilövahinkoja,5.039999485015869,0.3499999940395355,0.3499999940395355,0.0700000002980232,0.0
8119990,2017,1,maanantai,24.9393,60.1702,14050.0,Ei henkilövahinkoja,5.039999485015869,0.3499999940395355,0.3499999940395355,0.0700000002980232,0.0
8119991,2017,1,keskiviikko,22.4952,60.4424,960.0,Loukkaantumiseen johtanut,0.0,3.150000095367432,0.0,0.0,
8119991,2017,1,keskiviikko,22.4952,60.4424,1461.0,Loukkaantumiseen johtanut,0.0,3.150000095367432,0.0,0.0,
8119993,2017,1,lauantai,22.3628,60.4071,1460.0,Ei henkilövahinkoja,0.0,0.0,0.0,0.0700000002980232,
8119993,2017,1,lauantai,22.3628,60.4071,1735.0,Ei henkilövahinkoja,0.0,0.0,0.0,0.0700000002980232,
8119994,2017,1,sunnuntai,26.5797,63.2426,12600.0,Ei henkilövahinkoja,0.0,0.0700000002980232,0.0700000002980232,1.9600001573562624,0.4199999868869781
8119995,2017,1,sunnuntai,25.0905,60.2103,2460.0,Ei henkilövahinkoja,2.450000047683716,0.5600000023841858,0.0,0.0,2.7300004959106445
8119995,2017,1,sunnuntai,25.0905,60.2103,1664.0,Ei henkilövahinkoja,2.450000047683716,0.5600000023841858,0.0,0.0,2.7300004959106445
8119996,2017,1,perjantai,21.6387,63.0025,1578.0,Loukkaantumiseen johtanut,3.2200002670288086,0.0,0.6299999952316284,0.0,
8119997,2017,1,lauantai,25.0388,60.3057,12914.0,Loukkaantumiseen johtanut,0.0,0.0,0.8400000333786011,0.0700000002980232,
8119997,2017,1,lauantai,25.0388,60.3057,,Loukkaantumiseen johtanut,0.0,0.0,0.8400000333786011,0.0700000002980232,
8119998,2017,1,tiistai,25.1129,60.3384,13350.0,Ei henkilövahinkoja,0.9099999666213988,0.2100000083446502,0.4900000095367431,0.0,
