Onnett_id;Tienpit;Tienpitsel;Tie;Aosa;Aet;Ajr;Vuosi;Kk;Vakavuusko;Vakavuus;ELY;Elynimi;Vkpv;Ontyyppi;Ontyypsel;Onluokka;Onlksel;Osallkm;Nopraj;Taajmerk;Taajamasel;Pinta;Pintasel;Valoisuus;Valsel;Sää;Sääsel;Onnpaikka;Onnpaiksel;Liikvalot;Liikvalsel;Liittyvtie;Maakunta;Maakuntsel;Kunta;Kuntasel;Noplaji;Noplajisel;Nopsuunvas;Nopsuunoik;Taajama;Mo_mol;Mo_molsel;Toimluokka;Toimlksel;Kvl;Raskaskvl;Tienlev;X;Y;Tietyö;Päällyste;Päällsel;Lämpötila;Risteys;Risteyssel;Rautatie;Rautatsel;Muuliit;Muuliitsel;Katuosoite;Tietyyppi;Tietyypsel;Talvhoitlk;Talvhoitsel;Tienverkas;Tienverkse;Maankäyttö;Maankäytse;Valoohjaus;Valoohjsel;Lisäkaisty;Lisäkaisse;Solmutyyp;Solmutyyps;Liitluok;Liitlksel;Lähliittie;Suuntlkm;Toimenpide;Toimpidsel;Luovpvm;Valaisomis;Valomsel;Poikkileik;Poikleikse;Päällyslev;Päällystlk;Päällksel;Nakos150;Nakos300;Nakos460;Runkotie;Raskos
6891249;1;Liikennevirasto;1;2;2554;1;2015;9;0;Ei henkilövahinkoja;1;Uusimaa;Lauantai;8;peräänajo liikenne-esteen takia pysäht. ajoneuvoon;6;peräänajo-onnettomuus;5;40;1;K;1;paljas, kuiva;1;päivänvalo;1;kirkas;1;ajorata;-1;Ei arvoa;;1;Uusimaa;91;Helsinki;6;yleisrajoitus taajamassa;50;50;K;-1;Ei arvoa;1;valtatie;;;;382565;6675968;E;1;kestopäällyste;20;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;HUOPALAHDENTIE X TURUNVÄYLÄ             ;-1;Ei arvoa;-1;Ei arvoa;9;tieto puuttuu;9;tieto puuttuu;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;-1;Ei arvoa;;-1;Ei arvoa;2;2 ajor;;-1;Ei arvoa;;;;0;ei
6584643;1;Liikennevirasto;1;3;3;2;2015;10;0;Ei henkilövahinkoja;1;Uusimaa;Keskiviikko;6;peräänajo jarruttavaan ajoneuvoon ;6;peräänajo-onnettomuus;2;40;1;K;1;paljas, kuiva;4;tie valaistu;1;kirkas;1;ajorata;1;toiminnassa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;50;K;1;moottoritie;1;valtatie;30931;1099;201;382589;6675855;E;1;kestopäällyste;-1;4;liikennevalot;-1;Ei arvoa;-1;Ei arvoa;HUOPALAHDENTIE 19                       ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;-1;Ei arvoa;4;y-liittymä;4;osaliittymä;40912;5;1;rakentaminen;1.1.1962;1;valtio omistaa;2;2 ajor;114;10;kovat asfaltit;97;76;57;1;ei
6681113;1;Liikennevirasto;1;3;6;2;2015;1;0;Ei henkilövahinkoja;1;Uusimaa;Lauantai;13;muu törmäys käännyttäessä vasemmalle;2;kääntymisonnettomuus;2;60;0;E;2;paljas, märkä;1;päivänvalo;2;pilvipouta;1;ajorata;1;toiminnassa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;50;E;1;moottoritie;1;valtatie;30931;1099;201;382587;6675852;E;1;kestopäällyste;4;4;liikennevalot;-1;Ei arvoa;-1;Ei arvoa;HUOPALAHDENTIE X TURUNVÄYLÄ             ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;-1;Ei arvoa;4;y-liittymä;4;osaliittymä;40912;5;1;rakentaminen;1.1.1962;1;valtio omistaa;2;2 ajor;114;10;kovat asfaltit;97;76;57;1;ei
6840692;1;Liikennevirasto;1;3;8;1;2015;7;0;Ei henkilövahinkoja;1;Uusimaa;Maanantai;6;peräänajo jarruttavaan ajoneuvoon ;6;peräänajo-onnettomuus;2;40;1;K;1;paljas, kuiva;1;päivänvalo;2;pilvipouta;1;ajorata;1;toiminnassa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;50;K;1;moottoritie;1;valtatie;30931;1099;201;382547;6675979;E;1;kestopäällyste;16;4;liikennevalot;-1;Ei arvoa;-1;Ei arvoa;HUOPALAHDENTIE X TURUN TIE              ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;-1;Ei arvoa;4;y-liittymä;4;osaliittymä;40912;5;1;rakentaminen;30.6.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;97;76;57;1;ei
6740912;1;Liikennevirasto;1;3;9;2;2015;10;0;Ei henkilövahinkoja;1;Uusimaa;Sunnuntai;4;kylkikosketus ;3;ohitusonnettomuus;2;40;1;K;1;paljas, kuiva;4;tie valaistu;2;pilvipouta;1;ajorata;1;toiminnassa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;50;K;1;moottoritie;1;valtatie;30931;1099;201;382585;6675850;E;1;kestopäällyste;8;4;liikennevalot;-1;Ei arvoa;-1;Ei arvoa;TIE 1 X HUOPALAHDENTIE                  ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;-1;Ei arvoa;4;y-liittymä;4;osaliittymä;40912;5;1;rakentaminen;1.1.1962;1;valtio omistaa;2;2 ajor;114;10;kovat asfaltit;97;76;57;1;ei
6791389;1;Liikennevirasto;1;3;22;1;2015;10;0;Ei henkilövahinkoja;1;Uusimaa;Perjantai;3;kaistanvaihto vasemmalle;3;ohitusonnettomuus;2;50;1;K;1;paljas, kuiva;4;tie valaistu;2;pilvipouta;1;ajorata;-1;Ei arvoa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;50;K;1;moottoritie;1;valtatie;30931;1099;201;382530;6675986;E;1;kestopäällyste;13;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;HUOPALAHDENTIE X TURUNVÄYLÄ             ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;30.6.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;97;76;57;1;ei
6861862;1;Liikennevirasto;1;3;24;2;2015;9;0;Ei henkilövahinkoja;1;Uusimaa;Perjantai;8;peräänajo liikenne-esteen takia pysäht. ajoneuvoon;6;peräänajo-onnettomuus;2;50;1;K;1;paljas, kuiva;1;päivänvalo;1;kirkas;1;ajorata;1;toiminnassa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;50;K;1;moottoritie;1;valtatie;30931;1099;201;382573;6675842;E;1;kestopäällyste;18;4;liikennevalot;-1;Ei arvoa;-1;Ei arvoa;HUOPALAHDENTIE X TURUNVÄYLÄ             ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;1.1.1962;1;valtio omistaa;2;2 ajor;114;10;kovat asfaltit;97;76;57;1;ei
6694759;1;Liikennevirasto;1;3;25;2;2015;4;0;Ei henkilövahinkoja;1;Uusimaa;Maanantai;8;peräänajo liikenne-esteen takia pysäht. ajoneuvoon;6;peräänajo-onnettomuus;2;60;1;K;-1;Ei arvoa;1;päivänvalo;2;pilvipouta;1;ajorata;1;toiminnassa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;50;K;1;moottoritie;1;valtatie;30931;1099;201;382572;6675841;E;1;kestopäällyste;5;4;liikennevalot;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄ X HUOPALAHDENTIE             ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;1.1.1962;1;valtio omistaa;2;2 ajor;114;10;kovat asfaltit;97;76;57;1;ei
6735220;1;Liikennevirasto;1;3;26;2;2015;3;0;Ei henkilövahinkoja;1;Uusimaa;Maanantai;8;peräänajo liikenne-esteen takia pysäht. ajoneuvoon;6;peräänajo-onnettomuus;2;40;0;E;1;paljas, kuiva;1;päivänvalo;1;kirkas;1;ajorata;1;toiminnassa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;50;E;1;moottoritie;1;valtatie;30931;1099;201;382587;6675811;E;1;kestopäällyste;8;4;liikennevalot;-1;Ei arvoa;-1;Ei arvoa;HUOPALAHDENTIE X TURUNVÄYLÄ             ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;1.1.1962;1;valtio omistaa;2;2 ajor;114;10;kovat asfaltit;97;76;57;1;ei
6773492;1;Liikennevirasto;1;3;30;2;2015;9;0;Ei henkilövahinkoja;1;Uusimaa;Lauantai;52;kääntyminen vasemmalle toisen eteen tai  kylkeen ;4;risteämisonnettomuus;2;40;0;E;1;paljas, kuiva;4;tie valaistu;2;pilvipouta;1;ajorata;1;toiminnassa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;50;E;1;moottoritie;1;valtatie;30931;1099;267;382567;6675840;E;1;kestopäällyste;11;4;liikennevalot;-1;Ei arvoa;-1;Ei arvoa;HUOPALAHDENTIE                          ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;5;joukkoliikenteen kaista;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;1.1.1962;1;valtio omistaa;2;2 ajor;115;10;kovat asfaltit;97;76;57;1;ei
6651119;1;Liikennevirasto;1;3;72;2;2015;4;2;Loukkaantumiseen johtanut;1;Uusimaa;Perjantai;8;peräänajo liikenne-esteen takia pysäht. ajoneuvoon;6;peräänajo-onnettomuus;2;60;1;K;1;paljas, kuiva;4;tie valaistu;1;kirkas;1;ajorata;1;toiminnassa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;80;K;1;moottoritie;1;valtatie;30931;1099;267;382525;6675839;E;1;kestopäällyste;2;4;liikennevalot;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄ X HUOPALAHDENTIE             ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;5;joukkoliikenteen kaista;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;1.1.1962;1;valtio omistaa;2;2 ajor;115;10;kovat asfaltit;97;76;57;1;on
6736241;1;Liikennevirasto;1;3;72;2;2015;4;0;Ei henkilövahinkoja;1;Uusimaa;Keskiviikko;4;kylkikosketus ;3;ohitusonnettomuus;2;60;1;K;1;paljas, kuiva;1;päivänvalo;1;kirkas;1;ajorata;1;toiminnassa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;80;K;1;moottoritie;1;valtatie;30931;1099;267;382525;6675839;E;1;kestopäällyste;8;4;liikennevalot;-1;Ei arvoa;-1;Ei arvoa;TURUN VÄYLÄ X HUOPALAHDENTIE            ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;5;joukkoliikenteen kaista;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;1.1.1962;1;valtio omistaa;2;2 ajor;115;10;kovat asfaltit;97;76;57;1;ei
6838173;1;Liikennevirasto;1;3;152;1;2015;6;0;Ei henkilövahinkoja;1;Uusimaa;Maanantai;82;suistuminen oik. oikealle kääntyvässä kaarteessa;1;yksittäisonnettomuus;1;100;0;E;2;paljas, märkä;1;päivänvalo;2;pilvipouta;1;ajorata;-1;Ei arvoa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;80;E;1;moottoritie;1;valtatie;30931;1099;234;382423;6675915;E;1;kestopäällyste;16;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TIE 1 POHJOISEEN, NOIN 150 M TIEN ALUSTA;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;30.6.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;97;76;57;1;ei
6842941;1;Liikennevirasto;1;3;173;1;2015;7;0;Ei henkilövahinkoja;1;Uusimaa;Perjantai;81;suistuminen vasemmalle suoralla ;1;yksittäisonnettomuus;1;100;0;E;2;paljas, märkä;1;päivänvalo;2;pilvipouta;1;ajorata;-1;Ei arvoa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;100;E;1;moottoritie;1;valtatie;30931;1099;234;382402;6675914;E;1;kestopäällyste;16;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄ                              ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;30.6.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;97;76;57;1;ei
6744933;1;Liikennevirasto;1;3;215;1;2015;4;0;Ei henkilövahinkoja;1;Uusimaa;Maanantai;82;suistuminen oik. oikealle kääntyvässä kaarteessa;1;yksittäisonnettomuus;1;100;0;E;1;paljas, kuiva;1;päivänvalo;2;pilvipouta;1;ajorata;-1;Ei arvoa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;100;E;1;moottoritie;1;valtatie;30931;1099;234;382361;6675920;E;1;kestopäällyste;9;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄN ALKU TURUN SUUNTAAN 150M    ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;30.6.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;97;76;57;1;ei
6783113;1;Liikennevirasto;1;3;218;1;2015;6;0;Ei henkilövahinkoja;1;Uusimaa;Torstai;80;suistuminen oikealle suoralla ;1;yksittäisonnettomuus;1;80;0;E;2;paljas, märkä;1;päivänvalo;4;vesisade;1;ajorata;-1;Ei arvoa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;100;E;1;moottoritie;1;valtatie;30931;1099;234;382358;6675920;E;1;kestopäällyste;12;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄ, HUOPALAHDENTIEN PÄÄTY       ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;30.6.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;97;76;57;1;ei
6867643;1;Liikennevirasto;1;3;259;1;2015;7;2;Loukkaantumiseen johtanut;1;Uusimaa;Sunnuntai;83;suistuminen vas. oikealle kääntyvässä kaarteessa;1;yksittäisonnettomuus;1;100;0;E;2;paljas, märkä;1;päivänvalo;2;pilvipouta;1;ajorata;-1;Ei arvoa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;100;E;1;moottoritie;1;valtatie;30931;1099;234;382317;6675926;E;1;kestopäällyste;18;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄ                              ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;30.6.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;97;76;57;1;ei
6814453;1;Liikennevirasto;1;3;322;2;2015;10;0;Ei henkilövahinkoja;1;Uusimaa;Torstai;6;peräänajo jarruttavaan ajoneuvoon ;6;peräänajo-onnettomuus;2;60;0;E;2;paljas, märkä;1;päivänvalo;2;pilvipouta;1;ajorata;-1;Ei arvoa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;100;E;1;moottoritie;1;valtatie;30931;1099;267;382288;6675915;E;1;kestopäällyste;15;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄ HELSINKIIN                   ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;5;joukkoliikenteen kaista;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;1.1.1962;1;valtio omistaa;2;2 ajor;115;10;kovat asfaltit;97;76;57;1;ei
6663784;1;Liikennevirasto;1;3;442;2;2015;4;0;Ei henkilövahinkoja;1;Uusimaa;Perjantai;9;muu samat ajosuunnat, ei kääntymistä;13;muu onnettomuus;3;60;0;E;2;paljas, märkä;1;päivänvalo;6;räntäsade;1;ajorata;-1;Ei arvoa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;100;E;1;moottoritie;1;valtatie;30931;1099;267;382169;6675919;E;1;kestopäällyste;3;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄ                              ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;5;joukkoliikenteen kaista;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;1.1.1962;1;valtio omistaa;2;2 ajor;115;10;kovat asfaltit;97;76;57;1;ei
6665079;1;Liikennevirasto;1;3;550;2;2015;4;0;Ei henkilövahinkoja;1;Uusimaa;Perjantai;8;peräänajo liikenne-esteen takia pysäht. ajoneuvoon;6;peräänajo-onnettomuus;5;60;1;K;2;paljas, märkä;1;päivänvalo;4;vesisade;1;ajorata;-1;Ei arvoa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;100;K;1;moottoritie;1;valtatie;30931;1099;267;382061;6675910;E;1;kestopäällyste;3;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄ                              ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;5;joukkoliikenteen kaista;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;1.1.1962;1;valtio omistaa;2;2 ajor;115;10;kovat asfaltit;97;76;57;1;ei
6651730;1;Liikennevirasto;1;3;715;2;2015;3;0;Ei henkilövahinkoja;1;Uusimaa;Perjantai;20;kohtaaminen suoralla ;5;kohtaamisonnettomuus;2;80;0;E;1;paljas, kuiva;4;tie valaistu;2;pilvipouta;1;ajorata;-1;Ei arvoa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;80;100;E;1;moottoritie;1;valtatie;30931;1099;267;381898;6675883;E;1;kestopäällyste;2;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;PITÄJÄNMÄENTIE                          ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;5;joukkoliikenteen kaista;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;1.1.1962;1;valtio omistaa;2;2 ajor;115;10;kovat asfaltit;97;76;57;1;ei
6629771;1;Liikennevirasto;1;3;1392;1;2015;2;0;Ei henkilövahinkoja;1;Uusimaa;Torstai;81;suistuminen vasemmalle suoralla ;1;yksittäisonnettomuus;1;100;0;E;1;paljas, kuiva;4;tie valaistu;3;sumu;1;ajorata;-1;Ei arvoa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;100;100;E;1;moottoritie;1;valtatie;30931;1099;234;381217;6675996;E;1;kestopäällyste;1;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄ                              ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;30.6.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;97;76;57;1;ei
6682521;1;Liikennevirasto;1;3;2669;2;2015;1;0;Ei henkilövahinkoja;1;Uusimaa;Perjantai;99;muu  onnettomuus ;13;muu onnettomuus;2;100;0;E;-1;Ei arvoa;3;pimeä (valaisematon);-1;Ei arvoa;1;ajorata;-1;Ei arvoa;;1;Uusimaa;49;Espoo;1;tiekohtainen rajoitus;100;100;E;1;moottoritie;1;valtatie;30931;1099;267;380067;6676482;E;1;kestopäällyste;4;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄ                              ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;5;joukkoliikenteen kaista;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;1.1.1962;1;valtio omistaa;2;2 ajor;115;10;kovat asfaltit;97;76;57;1;ei
6651807;1;Liikennevirasto;1;3;3168;1;2015;2;0;Ei henkilövahinkoja;1;Uusimaa;Torstai;81;suistuminen vasemmalle suoralla ;1;yksittäisonnettomuus;1;100;0;E;2;paljas, märkä;1;päivänvalo;2;pilvipouta;1;ajorata;-1;Ei arvoa;;1;Uusimaa;49;Espoo;1;tiekohtainen rajoitus;100;100;E;1;moottoritie;1;valtatie;30931;1099;234;379590;6676662;E;1;kestopäällyste;2;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TIE 1 LÄNTEEN LEPPÄVAARA                ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;30.6.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;97;76;57;1;ei
6629753;1;Liikennevirasto;1;3;3425;1;2015;3;0;Ei henkilövahinkoja;1;Uusimaa;Sunnuntai;90;eläinonnettomuus ;11;peuraonnettomuus;2;80;0;E;1;paljas, kuiva;3;pimeä (valaisematon);2;pilvipouta;1;ajorata;-1;Ei arvoa;;1;Uusimaa;49;Espoo;1;tiekohtainen rajoitus;100;100;E;1;moottoritie;1;valtatie;30931;1099;201;379341;6676717;E;1;kestopäällyste;1;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TIE 1 LEPPÄVAARA LÄNTEEN                ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;30.6.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;97;76;57;1;ei
6682621;1;Liikennevirasto;1;4;162;1;2015;4;0;Ei henkilövahinkoja;1;Uusimaa;Lauantai;90;eläinonnettomuus ;11;peuraonnettomuus;2;100;0;E;-1;Ei arvoa;3;pimeä (valaisematon);-1;Ei arvoa;1;ajorata;-1;Ei arvoa;;1;Uusimaa;49;Espoo;1;tiekohtainen rajoitus;100;100;E;1;moottoritie;1;valtatie;66517;3044;221;378802;6676667;E;1;kestopäällyste;4;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄ                              ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;9;tieto puuttuu;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;30.6.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;100;97;70;1;ei
6716637;1;Liikennevirasto;1;4;765;1;2015;11;2;Loukkaantumiseen johtanut;1;Uusimaa;Keskiviikko;8;peräänajo liikenne-esteen takia pysäht. ajoneuvoon;6;peräänajo-onnettomuus;3;100;0;E;2;paljas, märkä;4;tie valaistu;4;vesisade;1;ajorata;-1;Ei arvoa;;1;Uusimaa;49;Espoo;1;tiekohtainen rajoitus;100;100;E;1;moottoritie;1;valtatie;66517;3044;234;378203;6676643;E;1;kestopäällyste;6;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TIE 1                                   ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;9;tieto puuttuu;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;30.6.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;100;97;70;1;ei
6695334;1;Liikennevirasto;1;4;1540;1;2015;10;2;Loukkaantumiseen johtanut;1;Uusimaa;Torstai;8;peräänajo liikenne-esteen takia pysäht. ajoneuvoon;6;peräänajo-onnettomuus;2;80;0;E;1;paljas, kuiva;1;päivänvalo;1;kirkas;1;ajorata;-1;Ei arvoa;;1;Uusimaa;49;Espoo;1;tiekohtainen rajoitus;100;100;E;1;moottoritie;1;valtatie;66517;3044;234;377438;6676556;K;1;kestopäällyste;5;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TIE 1                                   ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;9;tieto puuttuu;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;30.6.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;100;97;70;1;ei
6681574;1;Liikennevirasto;1;4;1930;1;2015;3;0;Ei henkilövahinkoja;1;Uusimaa;Tiistai;2;kaistanvaihto oikealle;3;ohitusonnettomuus;2;80;0;E;2;paljas, märkä;1;päivänvalo;2;pilvipouta;1;ajorata;-1;Ei arvoa;;1;Uusimaa;49;Espoo;1;tiekohtainen rajoitus;100;100;E;1;moottoritie;1;valtatie;66517;3044;234;377060;6676472;K;1;kestopäällyste;4;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄ                              ;-1;Ei arvoa;1;I-super, normaalisti aina paljaana;2;keskustan ohikulku kaava-alueella;9;tieto puuttuu;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;30.6.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;100;97;70;1;on
